department,diagnosis_category,insurance_category,year,total_encounters,avg_los,max_los,min_los,total_deaths,mortality_rate_pct,inpatient_count,outpatient_count,emergency_count,short_stay_count,long_stay_count
Oncology,Preventive,Private,2026.0,11,8.5,14,2,1,9.09,2,2,7,2,7
Orthopedics,Cardiovascular,Government,2024.0,176,8.2,15,1,27,15.34,62,58,56,43,99
General Medicine,Mental Health,Self-Pay,2023.0,19,8.3,15,1,7,36.84,7,6,6,2,11
General Medicine,Respiratory,Private,2025.0,60,8.2,15,1,6,10.0,18,20,22,13,36
Neurology,Endocrine,Self-Pay,2023.0,24,8.6,15,1,3,12.5,12,7,5,4,15
General Medicine,Preventive,Self-Pay,2026.0,8,8.0,15,1,4,50.0,0,5,3,3,4
Orthopedics,Preventive,Private,2023.0,14,9.1,15,5,4,28.57,7,2,5,0,7
Emergency,Mental Health,Government,2026.0,17,7.1,15,1,6,35.29,5,10,2,4,8
Orthopedics,Respiratory,Government,2023.0,70,7.7,15,1,14,20.0,20,29,21,11,34
Orthopedics,Respiratory,Private,2023.0,34,7.4,15,1,8,23.53,11,4,19,10,17
Cardiology,Renal,Government,2024.0,54,7.7,15,1,14,25.93,18,18,18,11,27
Neurology,Musculoskeletal,Private,2024.0,24,7.7,15,2,7,29.17,8,9,7,4,10
Emergency,Preventive,Private,2023.0,17,7.0,15,1,3,17.65,7,6,4,6,7
General Medicine,Mental Health,Self-Pay,2026.0,7,7.7,13,4,1,14.29,2,1,4,0,4
Orthopedics,Mental Health,Self-Pay,2025.0,32,9.6,15,2,9,28.13,11,12,9,1,22
Cardiology,Respiratory,Self-Pay,2023.0,36,7.7,15,1,8,22.22,10,16,10,11,17
Cardiology,Mental Health,Private,2026.0,10,5.5,14,1,3,30.0,4,4,2,5,4
Cardiology,Preventive,Private,2025.0,27,9.0,15,1,3,11.11,9,10,8,4,19
Cardiology,Mental Health,Government,2026.0,23,5.9,11,1,3,13.04,6,8,9,7,9
Emergency,Endocrine,Self-Pay,2023.0,28,9.0,15,3,6,21.43,12,11,5,4,16
General Medicine,Preventive,Self-Pay,2024.0,20,8.4,15,1,7,35.0,6,4,10,4,12
General Medicine,Mental Health,Private,2025.0,29,6.9,15,1,6,20.69,8,6,15,6,12
Emergency,Musculoskeletal,Private,2025.0,30,8.5,15,1,6,20.0,7,12,11,6,19
Cardiology,Renal,Private,2025.0,32,9.6,15,1,6,18.75,12,11,9,5,23
Neurology,Mental Health,Government,2024.0,50,8.1,15,1,16,32.0,20,16,14,13,29
Orthopedics,Musculoskeletal,Self-Pay,2026.0,7,8.7,15,4,1,14.29,1,3,3,0,3
Neurology,Respiratory,Government,2023.0,59,8.4,15,1,15,25.42,23,17,19,12,35
Oncology,Mental Health,Private,2025.0,32,7.1,15,1,3,9.38,12,8,12,8,15
General Medicine,Preventive,Private,2023.0,20,9.7,15,1,1,5.0,3,9,8,3,14
General Medicine,Respiratory,Government,2026.0,42,7.6,15,1,14,33.33,13,16,13,9,20
Orthopedics,Cardiovascular,Private,2024.0,83,7.8,15,1,20,24.1,30,29,24,20,39
Oncology,Endocrine,Self-Pay,2025.0,38,8.0,15,1,6,15.79,13,16,9,9,20
Cardiology,Preventive,Self-Pay,2025.0,27,7.2,15,1,1,3.7,10,9,8,7,11
Cardiology,Cardiovascular,Government,2024.0,192,7.6,15,1,35,18.23,69,63,60,48,92
Orthopedics,Musculoskeletal,Private,2026.0,10,9.9,15,2,2,20.0,5,1,4,1,7
General Medicine,Endocrine,Government,2025.0,60,7.9,15,1,15,25.0,21,20,19,11,31
Cardiology,Musculoskeletal,Private,2024.0,35,6.6,14,1,10,28.57,5,15,15,9,15
Orthopedics,Cardiovascular,Government,2023.0,109,8.0,15,1,20,18.35,38,38,33,17,65
Neurology,Mental Health,Government,2025.0,53,7.5,15,1,10,18.87,21,17,15,11,24
Cardiology,Musculoskeletal,Government,2024.0,49,7.6,15,1,14,28.57,17,18,14,15,27
Orthopedics,Musculoskeletal,Government,2025.0,60,8.6,15,1,11,18.33,16,27,17,13,37
Neurology,Cardiovascular,Government,2023.0,134,7.9,15,1,32,23.88,50,36,48,29,69
Orthopedics,Renal,Self-Pay,2026.0,9,9.7,15,4,2,22.22,2,4,3,0,6
Emergency,Endocrine,Government,2023.0,35,6.7,15,1,2,5.71,9,14,12,12,13
Orthopedics,Respiratory,Government,2024.0,107,8.1,15,1,19,17.76,41,32,34,21,62
Oncology,Musculoskeletal,Government,2023.0,41,7.8,15,1,11,26.83,13,14,14,9,22
Cardiology,Endocrine,Private,2026.0,13,8.2,15,1,1,7.69,7,1,5,3,6
General Medicine,Endocrine,Government,2026.0,26,7.0,15,1,6,23.08,5,10,11,7,11
Neurology,Mental Health,Private,2025.0,26,6.8,15,1,10,38.46,6,10,10,8,11
Orthopedics,Endocrine,Government,2025.0,48,7.9,15,1,8,16.67,9,16,23,11,26
General Medicine,Musculoskeletal,Self-Pay,2024.0,20,7.5,15,1,7,35.0,12,4,4,6,11
Neurology,Renal,Self-Pay,2025.0,25,8.3,15,1,6,24.0,12,7,6,4,13
Cardiology,Renal,Private,2026.0,10,8.3,14,3,2,20.0,3,4,3,2,5
Oncology,Musculoskeletal,Self-Pay,2025.0,36,8.4,15,1,9,25.0,13,14,9,5,19
Oncology,Mental Health,Government,2025.0,41,8.5,15,1,8,19.51,15,13,13,5,24
Orthopedics,Preventive,Government,2023.0,43,8.1,15,1,7,16.28,10,18,15,8,23
Cardiology,Preventive,Self-Pay,2026.0,12,9.9,14,5,1,8.33,8,3,1,0,8
Neurology,Endocrine,Self-Pay,2025.0,28,7.4,15,1,5,17.86,10,9,9,6,14
Cardiology,Cardiovascular,Government,2025.0,183,8.0,15,1,35,19.13,57,59,67,38,102
Neurology,Mental Health,Government,2026.0,19,8.7,15,1,6,31.58,8,4,7,3,10
Emergency,Endocrine,Private,2026.0,16,7.9,15,2,3,18.75,8,4,4,3,9
General Medicine,Cardiovascular,Private,2023.0,56,8.6,15,1,9,16.07,18,16,22,8,31
Orthopedics,Cardiovascular,Government,2026.0,54,8.0,15,1,10,18.52,17,21,16,11,28
Orthopedics,Preventive,Private,2024.0,21,8.4,15,1,8,38.1,5,4,12,2,12
Emergency,Cardiovascular,Self-Pay,2023.0,64,7.8,15,1,14,21.88,20,19,25,10,27
Orthopedics,Endocrine,Private,2025.0,29,7.3,15,1,8,27.59,10,10,9,9,14
Emergency,Respiratory,Government,2026.0,29,8.8,14,1,5,17.24,13,10,6,6,16
Neurology,Endocrine,Government,2023.0,29,8.1,15,1,6,20.69,7,11,11,4,17
Emergency,Renal,Self-Pay,2025.0,30,8.0,15,2,4,13.33,13,8,9,7,16
Neurology,Preventive,Self-Pay,2024.0,43,7.6,15,1,7,16.28,14,11,18,12,23
Emergency,Musculoskeletal,Government,2025.0,42,6.9,15,1,7,16.67,14,14,14,12,17
Orthopedics,Respiratory,Self-Pay,2023.0,32,7.7,15,1,4,12.5,12,9,11,8,17
Oncology,Musculoskeletal,Self-Pay,2023.0,19,8.8,15,1,2,10.53,7,6,6,3,12
Orthopedics,Renal,Government,2026.0,22,6.7,15,1,3,13.64,8,6,8,7,8
Emergency,Preventive,Private,2026.0,10,5.0,10,2,2,20.0,2,5,3,3,2
Cardiology,Endocrine,Self-Pay,2023.0,21,6.1,14,1,6,28.57,9,4,8,5,7
Emergency,Renal,Self-Pay,2023.0,17,8.4,15,1,3,17.65,5,5,7,6,10
Cardiology,Renal,Self-Pay,2023.0,21,8.1,15,2,4,19.05,11,4,6,4,11
Cardiology,Mental Health,Private,2025.0,29,7.7,15,1,4,13.79,8,11,10,6,14
Neurology,Preventive,Government,2026.0,15,7.9,15,2,4,26.67,3,5,7,5,8
Orthopedics,Musculoskeletal,Private,2024.0,28,8.0,15,2,6,21.43,8,12,8,7,16
Oncology,Renal,Self-Pay,2024.0,22,8.3,15,2,3,13.64,9,6,7,4,12
Orthopedics,Renal,Government,2023.0,42,8.3,15,1,10,23.81,13,12,17,7,24
Neurology,Renal,Private,2025.0,25,7.4,14,1,6,24.0,7,11,7,3,12
Emergency,Renal,Private,2025.0,27,8.2,15,1,6,22.22,11,8,8,9,15
Oncology,Endocrine,Government,2024.0,49,8.1,15,1,13,26.53,15,16,18,12,26
Orthopedics,Cardiovascular,Private,2025.0,70,7.1,15,1,16,22.86,18,28,24,15,28
Orthopedics,Respiratory,Private,2026.0,25,8.2,15,1,1,4.0,7,10,8,4,14
Oncology,Renal,Self-Pay,2026.0,6,6.2,14,1,1,16.67,3,2,1,3,2
Cardiology,Endocrine,Government,2025.0,58,8.6,15,1,15,25.86,15,19,24,11,35
Cardiology,Mental Health,Government,2025.0,56,8.4,15,1,9,16.07,28,14,14,9,33
Cardiology,Mental Health,Private,2024.0,30,9.6,15,1,8,26.67,9,8,13,4,19
Cardiology,Musculoskeletal,Government,2023.0,32,7.7,15,1,6,18.75,12,11,9,8,15
Oncology,Respiratory,Government,2026.0,37,7.8,15,1,3,8.11,13,15,9,8,20
Cardiology,Endocrine,Self-Pay,2026.0,4,4.0,7,2,1,25.0,2,0,2,2,0
Cardiology,Preventive,Private,2026.0,8,7.9,14,3,0,0.0,2,4,2,1,3
Orthopedics,Respiratory,Private,2024.0,59,8.4,15,1,9,15.25,18,24,17,9,32
Cardiology,Preventive,Government,2024.0,58,8.4,15,1,10,17.24,23,19,16,7,37
Neurology,Preventive,Private,2023.0,19,7.3,13,1,7,36.84,7,3,9,4,9
Oncology,Mental Health,Private,2026.0,8,10.1,14,1,1,12.5,4,2,2,1,7
Neurology,Preventive,Self-Pay,2026.0,5,7.2,15,2,0,0.0,2,2,1,2,2
Oncology,Cardiovascular,Government,2025.0,166,7.7,15,1,26,15.66,48,50,68,34,82
Cardiology,Cardiovascular,Private,2025.0,86,7.9,15,1,18,20.93,22,35,29,18,48
General Medicine,Endocrine,Private,2023.0,21,7.1,15,1,1,4.76,5,6,10,8,9
Emergency,Cardiovascular,Government,2026.0,67,8.9,15,2,14,20.9,25,15,27,10,40
Orthopedics,Respiratory,Government,2025.0,118,7.4,15,1,24,20.34,43,34,41,32,55
Oncology,Endocrine,Self-Pay,2026.0,8,7.0,14,2,4,50.0,2,2,4,3,5
Cardiology,Cardiovascular,Private,2026.0,26,7.5,14,1,1,3.85,8,7,11,2,10
Orthopedics,Renal,Private,2026.0,5,12.0,14,7,1,20.0,2,2,1,0,4
Oncology,Preventive,Government,2023.0,43,8.1,15,1,5,11.63,10,18,15,10,22
Orthopedics,Mental Health,Self-Pay,2026.0,12,8.2,14,1,3,25.0,2,7,3,3,7
General Medicine,Mental Health,Government,2025.0,61,7.7,15,1,11,18.03,20,26,15,12,31
Orthopedics,Renal,Self-Pay,2025.0,25,8.6,15,2,5,20.0,9,8,8,4,16
Orthopedics,Endocrine,Government,2023.0,42,8.7,15,1,10,23.81,14,11,17,8,26
Cardiology,Preventive,Government,2025.0,56,8.4,15,1,13,23.21,19,15,22,7,32
General Medicine,Respiratory,Government,2024.0,130,7.9,15,1,24,18.46,46,38,46,25,68
Cardiology,Renal,Self-Pay,2025.0,31,7.5,15,1,4,12.9,10,8,13,7,15
Neurology,Respiratory,Self-Pay,2024.0,54,8.2,15,1,15,27.78,11,24,19,14,32
Oncology,Renal,Private,2024.0,19,7.8,15,2,1,5.26,7,9,3,2,8
Neurology,Musculoskeletal,Government,2025.0,70,7.8,15,1,12,17.14,28,22,20,16,37
Emergency,Preventive,Self-Pay,2023.0,9,10.0,15,4,2,22.22,2,3,4,0,6
Oncology,Endocrine,Self-Pay,2024.0,27,8.2,14,1,7,25.93,9,8,10,6,17
Neurology,Respiratory,Self-Pay,2026.0,20,7.5,15,1,2,10.0,6,6,8,4,10
Oncology,Preventive,Private,2025.0,37,8.0,15,1,9,24.32,18,8,11,6,18
Oncology,Respiratory,Self-Pay,2024.0,55,8.0,15,1,15,27.27,14,21,20,13,29
Orthopedics,Mental Health,Private,2024.0,29,8.1,15,1,6,20.69,7,8,14,7,14
Cardiology,Endocrine,Private,2025.0,23,6.3,15,1,6,26.09,10,5,8,10,10
Neurology,Endocrine,Self-Pay,2024.0,38,9.0,15,1,7,18.42,15,13,10,6,20
General Medicine,Endocrine,Government,2024.0,57,8.3,15,1,9,15.79,20,21,16,9,32
Cardiology,Respiratory,Government,2024.0,126,8.0,15,1,25,19.84,41,44,41,27,64
Cardiology,Preventive,Self-Pay,2024.0,39,8.2,15,1,9,23.08,12,14,13,4,20
Oncology,Preventive,Government,2026.0,14,7.7,15,1,3,21.43,6,0,8,5,7
Oncology,Cardiovascular,Government,2026.0,57,8.2,15,1,10,17.54,15,22,20,11,33
General Medicine,Respiratory,Private,2026.0,18,8.7,15,1,3,16.67,6,6,6,3,9
Orthopedics,Endocrine,Government,2026.0,13,5.8,15,1,3,23.08,9,2,2,4,4
Orthopedics,Renal,Self-Pay,2024.0,24,9.0,15,1,4,16.67,9,7,8,3,16
Neurology,Cardiovascular,Self-Pay,2024.0,95,8.1,15,1,14,14.74,43,26,26,17,48
Oncology,Musculoskeletal,Government,2026.0,10,7.6,14,2,3,30.0,5,4,1,3,5
Emergency,Endocrine,Private,2024.0,25,8.2,14,1,6,24.0,5,11,9,7,15
Emergency,Cardiovascular,Self-Pay,2026.0,33,8.4,15,2,4,12.12,11,12,10,5,16
Emergency,Renal,Self-Pay,2026.0,16,7.9,15,1,5,31.25,4,6,6,3,6
General Medicine,Mental Health,Private,2026.0,5,8.2,15,4,1,20.0,2,1,2,0,2
Neurology,Preventive,Government,2025.0,55,7.5,15,1,11,20.0,17,15,23,10,25
Cardiology,Mental Health,Government,2023.0,38,8.5,15,1,2,5.26,10,9,19,8,24
Neurology,Endocrine,Government,2024.0,52,7.1,15,1,9,17.31,16,20,16,18,25
Neurology,Preventive,Self-Pay,2023.0,16,7.9,13,3,3,18.75,6,5,5,2,8
Emergency,Mental Health,Private,2023.0,22,9.2,15,3,3,13.64,7,6,9,1,14
General Medicine,Renal,Self-Pay,2025.0,32,8.7,15,1,4,12.5,6,15,11,7,19
General Medicine,Endocrine,Self-Pay,2025.0,32,7.5,15,2,7,21.88,13,11,8,6,15
Emergency,Respiratory,Self-Pay,2023.0,40,8.2,15,1,10,25.0,16,12,12,8,25
Emergency,Preventive,Self-Pay,2026.0,9,6.4,12,1,4,44.44,1,5,3,2,3
Emergency,Respiratory,Private,2025.0,56,7.9,15,1,12,21.43,21,16,19,10,29
Cardiology,Preventive,Government,2026.0,18,9.0,15,1,3,16.67,7,6,5,3,14
Cardiology,Endocrine,Self-Pay,2024.0,27,7.6,14,1,2,7.41,9,12,6,6,15
Emergency,Musculoskeletal,Private,2026.0,9,8.8,15,1,3,33.33,3,3,3,1,5
General Medicine,Preventive,Private,2026.0,6,8.5,14,4,0,0.0,1,3,2,0,3
Emergency,Preventive,Government,2024.0,45,8.3,15,1,8,17.78,18,14,13,9,25
Orthopedics,Respiratory,Self-Pay,2025.0,49,7.4,15,1,9,18.37,15,16,18,10,18
Cardiology,Cardiovascular,Government,2026.0,62,8.1,15,1,10,16.13,22,12,28,14,33
General Medicine,Endocrine,Private,2024.0,23,7.5,15,1,4,17.39,6,10,7,3,9
General Medicine,Musculoskeletal,Self-Pay,2026.0,12,9.9,15,2,5,41.67,4,4,4,1,8
Oncology,Cardiovascular,Private,2026.0,28,8.1,15,1,5,17.86,7,9,12,5,16
Oncology,Mental Health,Self-Pay,2024.0,24,6.4,15,1,5,20.83,11,4,9,5,8
Oncology,Cardiovascular,Self-Pay,2026.0,27,8.1,15,1,7,25.93,9,8,10,8,16
Emergency,Renal,Government,2024.0,71,8.4,15,1,15,21.13,22,24,25,14,38
Emergency,Respiratory,Government,2025.0,125,8.0,15,1,24,19.2,47,41,37,33,68
Neurology,Mental Health,Private,2023.0,15,8.3,15,1,3,20.0,5,4,6,4,9
Oncology,Preventive,Private,2023.0,11,8.2,14,3,3,27.27,4,4,3,1,6
Orthopedics,Preventive,Government,2024.0,49,8.4,15,1,18,36.73,18,20,11,10,27
Emergency,Cardiovascular,Government,2025.0,161,7.7,15,1,35,21.74,47,65,49,36,86
General Medicine,Musculoskeletal,Government,2026.0,23,8.0,15,1,5,21.74,7,8,8,7,13
General Medicine,Respiratory,Government,2025.0,107,8.0,15,1,14,13.08,32,40,35,18,56
Oncology,Renal,Private,2026.0,8,7.6,15,1,0,0.0,3,1,4,2,4
Orthopedics,Musculoskeletal,Self-Pay,2024.0,26,7.3,15,1,5,19.23,12,8,6,7,13
Neurology,Cardiovascular,Private,2023.0,49,8.0,15,1,8,16.33,20,13,16,11,30
Cardiology,Preventive,Self-Pay,2023.0,18,8.1,15,2,3,16.67,9,8,1,3,10
Orthopedics,Mental Health,Government,2023.0,42,10.0,15,1,11,26.19,8,18,16,6,30
Emergency,Preventive,Private,2024.0,27,8.4,15,1,5,18.52,10,11,6,5,15
Oncology,Mental Health,Government,2024.0,69,7.3,15,1,18,26.09,27,21,21,19,34
General Medicine,Endocrine,Self-Pay,2024.0,25,9.0,14,3,5,20.0,8,7,10,2,17
Emergency,Mental Health,Self-Pay,2026.0,12,7.3,15,1,4,33.33,5,3,4,2,5
Emergency,Mental Health,Self-Pay,2023.0,18,9.0,15,2,5,27.78,3,6,9,2,13
Orthopedics,Endocrine,Self-Pay,2024.0,29,8.3,15,2,4,13.79,6,13,10,6,17
General Medicine,Musculoskeletal,Self-Pay,2023.0,10,10.6,15,7,1,10.0,3,5,2,0,7
Emergency,Renal,Private,2024.0,25,6.7,15,1,8,32.0,10,7,8,7,13
Neurology,Musculoskeletal,Private,2023.0,19,9.3,15,4,3,15.79,5,9,5,0,12
Emergency,Cardiovascular,Private,2026.0,21,10.0,14,1,7,33.33,9,5,7,3,17
Orthopedics,Endocrine,Self-Pay,2026.0,16,8.4,14,2,4,25.0,7,6,3,3,10
Emergency,Renal,Self-Pay,2024.0,23,6.5,14,1,6,26.09,12,6,5,6,11
Oncology,Musculoskeletal,Private,2023.0,15,7.1,14,1,6,40.0,0,8,7,5,7
Cardiology,Endocrine,Government,2026.0,23,8.3,14,1,3,13.04,7,5,11,3,13
Cardiology,Renal,Self-Pay,2026.0,5,7.4,13,1,0,0.0,2,3,0,1,2
General Medicine,Musculoskeletal,Government,2023.0,39,8.9,15,1,9,23.08,14,11,14,4,25
Orthopedics,Cardiovascular,Private,2023.0,53,8.2,15,1,9,16.98,17,13,23,10,27
Cardiology,Musculoskeletal,Private,2026.0,12,8.9,15,1,2,16.67,7,1,4,1,7
Orthopedics,Renal,Private,2024.0,25,7.9,15,1,6,24.0,10,10,5,6,14
Emergency,Mental Health,Private,2026.0,6,8.3,14,3,1,16.67,0,2,4,1,3
Emergency,Endocrine,Government,2024.0,63,7.6,15,1,8,12.7,25,21,17,14,29
Emergency,Cardiovascular,Private,2025.0,77,8.0,15,1,17,22.08,28,25,24,15,39
General Medicine,Cardiovascular,Government,2023.0,104,8.7,15,1,28,26.92,39,37,28,17,64
Oncology,Preventive,Government,2025.0,54,7.5,15,1,15,27.78,12,13,29,14,29
Neurology,Mental Health,Self-Pay,2024.0,30,9.2,15,1,1,3.33,7,12,11,4,19
Orthopedics,Cardiovascular,Government,2025.0,151,7.5,15,1,19,12.58,48,50,53,37,70
Oncology,Musculoskeletal,Self-Pay,2026.0,5,10.8,15,6,1,20.0,2,1,2,0,4
Emergency,Musculoskeletal,Self-Pay,2023.0,12,6.4,11,1,5,41.67,3,5,4,1,3
General Medicine,Preventive,Self-Pay,2023.0,18,8.1,15,2,2,11.11,6,4,8,3,7
Oncology,Endocrine,Private,2023.0,12,8.4,15,3,3,25.0,2,4,6,1,6
Emergency,Endocrine,Self-Pay,2024.0,21,9.7,15,1,7,33.33,7,10,4,3,13
Oncology,Respiratory,Private,2026.0,19,7.4,15,1,4,21.05,7,7,5,5,8
Emergency,Musculoskeletal,Government,2023.0,35,9.4,15,1,7,20.0,11,8,16,3,25
Cardiology,Preventive,Private,2024.0,24,7.8,15,2,5,20.83,9,7,8,4,12
Oncology,Cardiovascular,Self-Pay,2025.0,89,8.0,15,1,18,20.22,29,30,30,21,51
Orthopedics,Respiratory,Government,2026.0,46,8.0,15,1,9,19.57,14,14,18,10,24
Oncology,Respiratory,Government,2024.0,127,8.2,15,1,22,17.32,44,38,45,28,69
Orthopedics,Preventive,Self-Pay,2025.0,29,8.1,15,1,7,24.14,14,11,4,8,15
Orthopedics,Musculoskeletal,Government,2023.0,36,7.2,15,1,6,16.67,15,10,11,9,18
Oncology,Endocrine,Private,2024.0,20,8.3,15,1,4,20.0,8,7,5,5,12
Cardiology,Musculoskeletal,Self-Pay,2024.0,32,8.3,15,2,5,15.63,13,8,11,4,18
General Medicine,Cardiovascular,Self-Pay,2024.0,89,8.2,15,1,9,10.11,33,28,28,14,49
Emergency,Endocrine,Private,2025.0,17,9.6,15,1,2,11.76,5,5,7,2,12
General Medicine,Cardiovascular,Private,2026.0,26,8.0,15,1,5,19.23,4,10,12,6,12
Oncology,Respiratory,Self-Pay,2025.0,50,8.5,15,1,7,14.0,14,20,16,10,29
General Medicine,Preventive,Private,2025.0,19,9.9,15,1,5,26.32,8,10,1,3,12
General Medicine,Cardiovascular,Self-Pay,2026.0,23,7.2,15,1,5,21.74,7,13,3,6,9
Neurology,Cardiovascular,Government,2024.0,180,8.3,15,1,36,20.0,60,57,63,31,99
Emergency,Renal,Government,2026.0,19,9.3,15,4,2,10.53,6,7,6,0,13
Neurology,Respiratory,Government,2026.0,41,7.8,15,1,6,14.63,12,15,14,12,21
Emergency,Cardiovascular,Government,2024.0,173,8.6,15,1,40,23.12,44,67,62,26,105
Neurology,Renal,Government,2024.0,51,7.4,15,1,13,25.49,16,23,12,11,25
General Medicine,Preventive,Private,2024.0,29,9.0,15,1,8,27.59,9,12,8,4,20
General Medicine,Musculoskeletal,Self-Pay,2025.0,30,7.6,15,1,8,26.67,13,11,6,6,15
Cardiology,Mental Health,Self-Pay,2023.0,20,6.8,14,1,4,20.0,8,6,6,6,7
Orthopedics,Mental Health,Self-Pay,2024.0,31,9.2,15,1,10,32.26,12,7,12,2,20
Orthopedics,Respiratory,Self-Pay,2026.0,26,9.0,15,1,8,30.77,7,14,5,4,18
Emergency,Cardiovascular,Private,2023.0,60,8.4,15,1,10,16.67,19,18,23,9,37
Orthopedics,Mental Health,Self-Pay,2023.0,16,8.6,15,2,4,25.0,8,5,3,3,9
Emergency,Cardiovascular,Self-Pay,2025.0,97,8.5,15,1,15,15.46,32,29,36,15,56
Orthopedics,Preventive,Government,2025.0,52,7.3,15,1,8,15.38,16,20,16,13,26
General Medicine,Renal,Government,2024.0,46,8.1,15,1,10,21.74,13,14,19,11,24
Neurology,Endocrine,Government,2025.0,66,9.1,15,1,11,16.67,27,20,19,10,41
Cardiology,Respiratory,Government,2023.0,75,7.8,15,1,15,20.0,17,33,25,14,38
Neurology,Renal,Self-Pay,2024.0,28,8.3,15,1,2,7.14,8,11,9,5,18
Neurology,Preventive,Self-Pay,2025.0,26,8.2,15,1,3,11.54,5,9,12,7,16
Orthopedics,Endocrine,Self-Pay,2025.0,29,7.9,15,2,6,20.69,7,11,11,5,14
Oncology,Respiratory,Self-Pay,2023.0,28,8.0,15,1,8,28.57,8,7,13,5,17
