admission_month,admission_year,encounter_type,department,diagnosis_category,los_category,insurance_category,gender,race,total_encounters,avg_los,total_deaths,mortality_rate_pct
2024-04-01,2024.0,Inpatient,General Medicine,Musculoskeletal,Long Stay,Private,Female,Hispanic,1,8.0,1,100.0
2024-08-01,2024.0,Outpatient,General Medicine,Endocrine,Medium Stay,Private,Female,Black,1,7.0,0,0.0
2024-05-01,2024.0,Inpatient,Oncology,Cardiovascular,Short Stay,Government,Male,Asian,2,3.0,1,50.0
2023-06-01,2023.0,Emergency,Cardiology,Cardiovascular,Long Stay,Government,Male,Black,1,10.0,0,0.0
2024-07-01,2024.0,Outpatient,Oncology,Cardiovascular,Long Stay,Private,Male,Hispanic,1,12.0,0,0.0
2025-04-01,2025.0,Inpatient,Emergency,Renal,Long Stay,Self-Pay,Male,Asian,1,14.0,0,0.0
2023-11-01,2023.0,Emergency,Orthopedics,Mental Health,Long Stay,Self-Pay,Female,Hispanic,1,10.0,1,100.0
2023-08-01,2023.0,Outpatient,Cardiology,Mental Health,Short Stay,Self-Pay,Female,Black,1,3.0,1,100.0
2025-01-01,2025.0,Outpatient,Emergency,Mental Health,Medium Stay,Government,Female,Black,1,5.0,0,0.0
2025-02-01,2025.0,Inpatient,Emergency,Renal,Short Stay,Private,Female,White,1,1.0,0,0.0
2024-06-01,2024.0,Inpatient,Emergency,Cardiovascular,Short Stay,Self-Pay,Female,Hispanic,1,2.0,0,0.0
2025-07-01,2025.0,Emergency,Cardiology,Preventive,Long Stay,Self-Pay,Female,White,1,14.0,0,0.0
2025-12-01,2025.0,Inpatient,Neurology,Respiratory,Medium Stay,Government,Male,White,1,5.0,0,0.0
2025-10-01,2025.0,Inpatient,Emergency,Respiratory,Long Stay,Government,Female,Black,1,15.0,0,0.0
2024-07-01,2024.0,Inpatient,Emergency,Endocrine,Medium Stay,Government,Female,White,1,4.0,0,0.0
2025-04-01,2025.0,Outpatient,General Medicine,Cardiovascular,Long Stay,Government,Male,Asian,1,12.0,0,0.0
2025-06-01,2025.0,Inpatient,Neurology,Mental Health,Medium Stay,Private,Male,Hispanic,1,5.0,0,0.0
2024-01-01,2024.0,Outpatient,Orthopedics,Respiratory,Short Stay,Private,Female,Hispanic,1,3.0,0,0.0
2025-04-01,2025.0,Outpatient,Cardiology,Cardiovascular,Short Stay,Government,Female,Asian,1,2.0,1,100.0
2026-04-01,2026.0,Emergency,Cardiology,Respiratory,Long Stay,Government,Female,Other,1,13.0,0,0.0
2025-04-01,2025.0,Emergency,Oncology,Respiratory,Medium Stay,Private,Female,Hispanic,1,4.0,1,100.0
2026-03-01,2026.0,Outpatient,Oncology,Cardiovascular,Long Stay,Private,Male,Asian,1,14.0,0,0.0
2025-10-01,2025.0,Emergency,Oncology,Musculoskeletal,Medium Stay,Government,Female,Hispanic,1,5.0,0,0.0
2025-05-01,2025.0,Emergency,Oncology,Preventive,Short Stay,Government,Female,Hispanic,1,1.0,0,0.0
2025-06-01,2025.0,Outpatient,Neurology,Renal,Medium Stay,Government,Male,Asian,1,4.0,0,0.0
2025-02-01,2025.0,Outpatient,Cardiology,Musculoskeletal,Long Stay,Government,Male,Other,1,11.0,0,0.0
2025-01-01,2025.0,Emergency,Neurology,Preventive,Medium Stay,Private,Female,Black,1,5.0,0,0.0
2023-12-01,2023.0,Outpatient,Cardiology,Cardiovascular,Long Stay,Private,Female,White,1,11.0,0,0.0
2025-05-01,2025.0,Inpatient,Orthopedics,Cardiovascular,Medium Stay,Self-Pay,Male,White,1,7.0,0,0.0
2025-05-01,2025.0,Outpatient,Emergency,Cardiovascular,Medium Stay,Private,Female,Hispanic,1,7.0,0,0.0
2023-08-01,2023.0,Emergency,Cardiology,Cardiovascular,Medium Stay,Self-Pay,Male,Black,1,5.0,0,0.0
2024-01-01,2024.0,Inpatient,Cardiology,Endocrine,Short Stay,Self-Pay,Female,Asian,1,1.0,1,100.0
2025-07-01,2025.0,Emergency,Orthopedics,Preventive,Medium Stay,Self-Pay,Female,White,1,4.0,0,0.0
2025-10-01,2025.0,Inpatient,Emergency,Mental Health,Long Stay,Government,Male,Black,1,14.0,0,0.0
2023-05-01,2023.0,Outpatient,Emergency,Mental Health,Long Stay,Government,Female,Other,1,13.0,0,0.0
2025-04-01,2025.0,Inpatient,General Medicine,Cardiovascular,Medium Stay,Government,Female,White,1,7.0,0,0.0
2024-08-01,2024.0,Emergency,General Medicine,Mental Health,Long Stay,Self-Pay,Male,White,1,9.0,0,0.0
2025-02-01,2025.0,Inpatient,Emergency,Respiratory,Short Stay,Self-Pay,Male,Asian,1,3.0,0,0.0
2025-12-01,2025.0,Emergency,Oncology,Cardiovascular,Long Stay,Private,Female,Other,1,11.0,0,0.0
2025-01-01,2025.0,Outpatient,Orthopedics,Musculoskeletal,Short Stay,Private,Male,Other,1,2.0,0,0.0
2023-05-01,2023.0,Inpatient,Cardiology,Preventive,Long Stay,Government,Male,White,1,9.0,1,100.0
2025-05-01,2025.0,Inpatient,Orthopedics,Cardiovascular,Short Stay,Government,Male,Black,1,3.0,0,0.0
2024-12-01,2024.0,Emergency,General Medicine,Preventive,Long Stay,Government,Male,Other,1,9.0,0,0.0
2025-03-01,2025.0,Outpatient,General Medicine,Endocrine,Long Stay,Government,Male,Black,1,10.0,0,0.0
2024-08-01,2024.0,Emergency,General Medicine,Respiratory,Medium Stay,Self-Pay,Male,Black,1,5.0,1,100.0
2025-12-01,2025.0,Inpatient,General Medicine,Cardiovascular,Medium Stay,Government,Female,Asian,1,7.0,0,0.0
2024-06-01,2024.0,Inpatient,Neurology,Endocrine,Long Stay,Government,Male,Other,1,14.0,1,100.0
2025-07-01,2025.0,Outpatient,Neurology,Renal,Long Stay,Government,Female,Hispanic,1,8.0,1,100.0
2024-08-01,2024.0,Emergency,Cardiology,Mental Health,Long Stay,Government,Male,White,1,15.0,0,0.0
2026-01-01,2026.0,Inpatient,Orthopedics,Cardiovascular,Short Stay,Government,Male,White,1,3.0,0,0.0
2023-08-01,2023.0,Outpatient,Oncology,Musculoskeletal,Long Stay,Government,Female,Black,1,12.0,0,0.0
2025-02-01,2025.0,Emergency,Cardiology,Respiratory,Long Stay,Self-Pay,Female,Asian,1,12.0,0,0.0
2023-05-01,2023.0,Emergency,Emergency,Mental Health,Long Stay,Private,Female,Asian,1,15.0,0,0.0
2025-04-01,2025.0,Outpatient,Emergency,Cardiovascular,Long Stay,Government,Male,Black,1,10.0,0,0.0
2025-12-01,2025.0,Emergency,Orthopedics,Musculoskeletal,Long Stay,Self-Pay,Female,White,1,12.0,1,100.0
2026-03-01,2026.0,Emergency,General Medicine,Cardiovascular,Long Stay,Government,Female,White,2,9.0,0,0.0
2023-06-01,2023.0,Outpatient,Oncology,Respiratory,Medium Stay,Government,Female,Other,1,7.0,0,0.0
2023-12-01,2023.0,Inpatient,Neurology,Musculoskeletal,Long Stay,Government,Male,Other,1,9.0,0,0.0
2023-07-01,2023.0,Outpatient,Oncology,Musculoskeletal,Long Stay,Government,Female,Hispanic,1,9.0,1,100.0
2023-09-01,2023.0,Emergency,Cardiology,Renal,Long Stay,Self-Pay,Female,Black,1,8.0,0,0.0
2025-02-01,2025.0,Emergency,Oncology,Respiratory,Medium Stay,Government,Female,Black,1,5.0,0,0.0
2023-09-01,2023.0,Inpatient,Oncology,Renal,Long Stay,Government,Female,Other,1,15.0,0,0.0
2025-09-01,2025.0,Outpatient,Cardiology,Musculoskeletal,Long Stay,Self-Pay,Female,Black,1,10.0,0,0.0
2026-02-01,2026.0,Inpatient,General Medicine,Cardiovascular,Long Stay,Government,Female,Other,1,15.0,1,100.0
2024-09-01,2024.0,Emergency,Orthopedics,Musculoskeletal,Medium Stay,Government,Female,Asian,1,7.0,1,100.0
2025-05-01,2025.0,Inpatient,Oncology,Renal,Long Stay,Self-Pay,Female,Asian,1,10.0,0,0.0
2023-11-01,2023.0,Emergency,Emergency,Cardiovascular,Long Stay,Government,Male,Black,1,11.0,0,0.0
2024-01-01,2024.0,Inpatient,General Medicine,Endocrine,Short Stay,Private,Female,Asian,1,3.0,1,100.0
2026-01-01,2026.0,Outpatient,Cardiology,Respiratory,Long Stay,Private,Female,Asian,1,9.0,0,0.0
2025-07-01,2025.0,Emergency,Neurology,Cardiovascular,Medium Stay,Self-Pay,Female,White,2,6.0,0,0.0
2026-03-01,2026.0,Inpatient,Emergency,Renal,Long Stay,Self-Pay,Female,Black,1,14.0,0,0.0
2024-11-01,2024.0,Emergency,Orthopedics,Cardiovascular,Long Stay,Government,Male,Other,1,11.0,0,0.0
2025-07-01,2025.0,Emergency,Emergency,Cardiovascular,Long Stay,Private,Male,Black,1,10.0,0,0.0
2024-05-01,2024.0,Outpatient,Oncology,Cardiovascular,Long Stay,Government,Male,Asian,1,8.0,0,0.0
2023-05-01,2023.0,Inpatient,Emergency,Renal,Short Stay,Self-Pay,Female,Hispanic,1,3.0,0,0.0
2026-04-01,2026.0,Outpatient,Emergency,Cardiovascular,Short Stay,Self-Pay,Male,Hispanic,1,3.0,0,0.0
2025-05-01,2025.0,Inpatient,Emergency,Respiratory,Long Stay,Government,Female,White,1,9.0,1,100.0
2024-06-01,2024.0,Outpatient,Cardiology,Renal,Medium Stay,Government,Male,Black,1,7.0,0,0.0
2025-07-01,2025.0,Emergency,Neurology,Cardiovascular,Long Stay,Government,Male,Black,2,12.0,0,0.0
2024-11-01,2024.0,Inpatient,General Medicine,Respiratory,Long Stay,Self-Pay,Female,Hispanic,1,14.0,0,0.0
2023-12-01,2023.0,Outpatient,Cardiology,Cardiovascular,Medium Stay,Private,Male,Black,1,6.0,0,0.0
2023-06-01,2023.0,Emergency,Neurology,Cardiovascular,Long Stay,Government,Female,Asian,1,14.0,0,0.0
2024-08-01,2024.0,Emergency,Cardiology,Musculoskeletal,Medium Stay,Government,Male,Hispanic,1,4.0,0,0.0
2025-11-01,2025.0,Inpatient,Cardiology,Cardiovascular,Long Stay,Government,Female,Other,1,15.0,0,0.0
2025-05-01,2025.0,Outpatient,Cardiology,Cardiovascular,Short Stay,Government,Male,Black,2,2.5,0,0.0
2025-03-01,2025.0,Outpatient,Emergency,Cardiovascular,Medium Stay,Self-Pay,Female,Black,1,5.0,0,0.0
2024-03-01,2024.0,Emergency,Cardiology,Respiratory,Long Stay,Self-Pay,Male,Other,1,12.0,0,0.0
2026-03-01,2026.0,Outpatient,Emergency,Respiratory,Medium Stay,Self-Pay,Female,Black,1,7.0,0,0.0
2023-05-01,2023.0,Inpatient,Emergency,Cardiovascular,Long Stay,Private,Female,White,1,10.0,1,100.0
2025-03-01,2025.0,Inpatient,General Medicine,Preventive,Long Stay,Government,Male,Other,1,11.0,0,0.0
2024-06-01,2024.0,Emergency,Oncology,Endocrine,Long Stay,Self-Pay,Female,Asian,1,14.0,0,0.0
2024-11-01,2024.0,Outpatient,Neurology,Endocrine,Medium Stay,Government,Female,Black,2,6.0,0,0.0
2023-09-01,2023.0,Inpatient,General Medicine,Musculoskeletal,Short Stay,Government,Male,Asian,1,2.0,0,0.0
2024-09-01,2024.0,Emergency,Oncology,Preventive,Long Stay,Private,Female,Other,1,8.0,0,0.0
2025-08-01,2025.0,Emergency,Emergency,Preventive,Long Stay,Private,Female,Black,1,13.0,0,0.0
2025-02-01,2025.0,Emergency,Emergency,Cardiovascular,Long Stay,Private,Female,Black,1,13.0,1,100.0
2026-03-01,2026.0,Outpatient,Emergency,Cardiovascular,Medium Stay,Government,Male,Asian,1,4.0,0,0.0
2024-06-01,2024.0,Emergency,Emergency,Cardiovascular,Long Stay,Government,Female,Other,2,13.5,0,0.0
2025-04-01,2025.0,Inpatient,Emergency,Renal,Short Stay,Government,Female,White,1,2.0,0,0.0
2023-05-01,2023.0,Emergency,General Medicine,Endocrine,Short Stay,Government,Female,Asian,1,2.0,1,100.0
2025-03-01,2025.0,Outpatient,Oncology,Cardiovascular,Long Stay,Private,Female,Hispanic,1,8.0,0,0.0
2025-03-01,2025.0,Emergency,Oncology,Endocrine,Long Stay,Government,Male,Other,1,8.0,0,0.0
2025-01-01,2025.0,Inpatient,Neurology,Mental Health,Medium Stay,Self-Pay,Male,Asian,1,5.0,0,0.0
2024-07-01,2024.0,Emergency,Emergency,Cardiovascular,Short Stay,Government,Female,Black,1,3.0,0,0.0
2025-04-01,2025.0,Emergency,Emergency,Endocrine,Long Stay,Government,Male,White,1,13.0,1,100.0
2025-12-01,2025.0,Emergency,General Medicine,Preventive,Short Stay,Government,Female,Asian,1,3.0,1,100.0
2023-07-01,2023.0,Emergency,Emergency,Cardiovascular,Medium Stay,Self-Pay,Female,Black,1,7.0,0,0.0
2024-01-01,2024.0,Outpatient,Oncology,Cardiovascular,Medium Stay,Government,Male,Hispanic,2,7.0,1,50.0
2023-05-01,2023.0,Emergency,Neurology,Endocrine,Long Stay,Government,Female,Hispanic,1,8.0,0,0.0
2025-11-01,2025.0,Outpatient,Oncology,Respiratory,Long Stay,Government,Female,Other,1,10.0,1,100.0
2023-09-01,2023.0,Inpatient,Oncology,Cardiovascular,Short Stay,Government,Male,Asian,1,2.0,0,0.0
2025-06-01,2025.0,Emergency,Oncology,Respiratory,Short Stay,Government,Female,Other,1,3.0,0,0.0
2025-03-01,2025.0,Emergency,Neurology,Cardiovascular,Long Stay,Self-Pay,Male,Asian,1,12.0,0,0.0
2025-02-01,2025.0,Outpatient,Emergency,Preventive,Long Stay,Private,Female,Asian,1,9.0,0,0.0
2024-11-01,2024.0,Outpatient,Oncology,Preventive,Long Stay,Government,Female,Black,1,14.0,1,100.0
2025-11-01,2025.0,Outpatient,Neurology,Respiratory,Medium Stay,Government,Male,Other,1,4.0,0,0.0
2025-12-01,2025.0,Outpatient,Orthopedics,Endocrine,Short Stay,Private,Female,White,1,3.0,0,0.0
2026-03-01,2026.0,Emergency,Cardiology,Cardiovascular,Short Stay,Self-Pay,Male,Hispanic,1,3.0,1,100.0
2024-05-01,2024.0,Emergency,Oncology,Cardiovascular,Long Stay,Private,Female,White,1,8.0,0,0.0
2026-02-01,2026.0,Emergency,General Medicine,Preventive,Long Stay,Government,Female,White,1,10.0,0,0.0
2023-07-01,2023.0,Emergency,Cardiology,Musculoskeletal,Medium Stay,Self-Pay,Female,Asian,1,6.0,0,0.0
2024-08-01,2024.0,Emergency,Oncology,Respiratory,Short Stay,Government,Female,White,1,3.0,0,0.0
2023-07-01,2023.0,Outpatient,Cardiology,Preventive,Long Stay,Government,Female,Black,1,14.0,0,0.0
2023-05-01,2023.0,Emergency,Orthopedics,Cardiovascular,Short Stay,Private,Female,Hispanic,1,3.0,0,0.0
2024-06-01,2024.0,Emergency,Cardiology,Preventive,Short Stay,Government,Male,Hispanic,1,3.0,0,0.0
2023-09-01,2023.0,Emergency,General Medicine,Respiratory,Medium Stay,Private,Male,Hispanic,1,6.0,0,0.0
2025-08-01,2025.0,Outpatient,Oncology,Renal,Long Stay,Self-Pay,Male,Hispanic,1,12.0,0,0.0
2025-04-01,2025.0,Inpatient,General Medicine,Endocrine,Medium Stay,Private,Female,Other,1,5.0,0,0.0
2025-08-01,2025.0,Emergency,Neurology,Renal,Long Stay,Government,Female,Asian,1,12.0,0,0.0
2025-10-01,2025.0,Outpatient,Cardiology,Respiratory,Long Stay,Government,Female,White,1,8.0,0,0.0
2024-07-01,2024.0,Emergency,General Medicine,Cardiovascular,Long Stay,Private,Male,Hispanic,1,8.0,0,0.0
2025-01-01,2025.0,Inpatient,Oncology,Renal,Long Stay,Government,Male,Other,1,13.0,0,0.0
2023-07-01,2023.0,Inpatient,Emergency,Preventive,Short Stay,Private,Female,Hispanic,1,3.0,0,0.0
2023-05-01,2023.0,Inpatient,Cardiology,Cardiovascular,Short Stay,Self-Pay,Male,Other,1,3.0,0,0.0
2025-06-01,2025.0,Outpatient,Orthopedics,Cardiovascular,Long Stay,Private,Female,Hispanic,1,12.0,0,0.0
2025-12-01,2025.0,Inpatient,Emergency,Respiratory,Long Stay,Government,Male,Other,2,12.5,2,100.0
2023-11-01,2023.0,Inpatient,Orthopedics,Endocrine,Medium Stay,Government,Male,White,1,7.0,0,0.0
2026-02-01,2026.0,Inpatient,General Medicine,Cardiovascular,Medium Stay,Government,Female,White,1,7.0,1,100.0
2025-07-01,2025.0,Inpatient,Emergency,Cardiovascular,Medium Stay,Self-Pay,Female,Hispanic,1,5.0,0,0.0
2025-10-01,2025.0,Emergency,Cardiology,Mental Health,Long Stay,Government,Female,Other,1,15.0,0,0.0
2024-12-01,2024.0,Emergency,Emergency,Cardiovascular,Short Stay,Self-Pay,Female,Asian,1,1.0,0,0.0
2024-04-01,2024.0,Outpatient,Neurology,Cardiovascular,Long Stay,Self-Pay,Female,Other,1,14.0,0,0.0
2025-10-01,2025.0,Outpatient,General Medicine,Mental Health,Medium Stay,Government,Male,Asian,2,6.0,0,0.0
2024-10-01,2024.0,Inpatient,General Medicine,Respiratory,Long Stay,Government,Male,White,2,10.5,1,50.0
2024-10-01,2024.0,Emergency,Neurology,Renal,Long Stay,Government,Male,Other,1,9.0,0,0.0
2023-10-01,2023.0,Emergency,Cardiology,Respiratory,Short Stay,Self-Pay,Male,Black,1,1.0,0,0.0
2024-06-01,2024.0,Emergency,Orthopedics,Respiratory,Long Stay,Government,Male,Other,1,9.0,0,0.0
2025-07-01,2025.0,Inpatient,Neurology,Endocrine,Long Stay,Self-Pay,Female,Asian,1,13.0,0,0.0
2024-01-01,2024.0,Inpatient,Cardiology,Mental Health,Long Stay,Private,Male,White,1,14.0,0,0.0
2025-01-01,2025.0,Inpatient,Neurology,Endocrine,Long Stay,Self-Pay,Male,Black,1,8.0,0,0.0
2024-12-01,2024.0,Inpatient,General Medicine,Respiratory,Medium Stay,Private,Female,Hispanic,1,5.0,0,0.0
2023-08-01,2023.0,Outpatient,Emergency,Preventive,Long Stay,Government,Male,White,1,13.0,0,0.0
2024-02-01,2024.0,Emergency,Neurology,Preventive,Short Stay,Private,Female,Black,1,2.0,1,100.0
2023-10-01,2023.0,Outpatient,Emergency,Cardiovascular,Long Stay,Government,Male,Other,2,9.5,0,0.0
2025-02-01,2025.0,Outpatient,Oncology,Mental Health,Long Stay,Government,Female,White,1,8.0,0,0.0
2024-03-01,2024.0,Outpatient,Neurology,Musculoskeletal,Long Stay,Self-Pay,Male,White,1,8.0,0,0.0
2023-11-01,2023.0,Outpatient,Oncology,Preventive,Short Stay,Government,Female,Asian,1,3.0,0,0.0
2024-02-01,2024.0,Inpatient,Neurology,Cardiovascular,Medium Stay,Government,Female,Hispanic,1,7.0,1,100.0
2026-01-01,2026.0,Inpatient,Oncology,Respiratory,Medium Stay,Self-Pay,Female,Other,1,5.0,0,0.0
2026-02-01,2026.0,Inpatient,Emergency,Respiratory,Long Stay,Private,Female,Hispanic,1,11.0,0,0.0
2024-07-01,2024.0,Outpatient,Neurology,Endocrine,Long Stay,Private,Male,White,1,14.0,0,0.0
2023-11-01,2023.0,Outpatient,Emergency,Musculoskeletal,Long Stay,Government,Female,White,1,8.0,1,100.0
2026-02-01,2026.0,Outpatient,Oncology,Respiratory,Medium Stay,Government,Male,Hispanic,1,5.0,0,0.0
2023-09-01,2023.0,Outpatient,Orthopedics,Preventive,Medium Stay,Government,Male,Other,1,4.0,0,0.0
2025-08-01,2025.0,Outpatient,Neurology,Preventive,Long Stay,Government,Female,White,1,9.0,0,0.0
2024-09-01,2024.0,Outpatient,Emergency,Renal,Short Stay,Government,Female,Hispanic,1,3.0,0,0.0
2025-04-01,2025.0,Inpatient,Neurology,Renal,Short Stay,Self-Pay,Female,White,1,2.0,1,100.0
2024-02-01,2024.0,Outpatient,Neurology,Musculoskeletal,Long Stay,Government,Female,Other,1,13.0,0,0.0
2025-05-01,2025.0,Inpatient,Orthopedics,Endocrine,Short Stay,Government,Female,Asian,1,1.0,0,0.0
2023-09-01,2023.0,Emergency,Orthopedics,Cardiovascular,Medium Stay,Government,Female,Asian,1,4.0,0,0.0
2023-05-01,2023.0,Emergency,Neurology,Cardiovascular,Medium Stay,Self-Pay,Female,White,1,7.0,0,0.0
2023-11-01,2023.0,Outpatient,Oncology,Preventive,Medium Stay,Private,Female,Hispanic,1,5.0,1,100.0
2023-10-01,2023.0,Outpatient,Oncology,Cardiovascular,Long Stay,Self-Pay,Female,Hispanic,2,10.5,0,0.0
2025-11-01,2025.0,Inpatient,Oncology,Cardiovascular,Long Stay,Private,Female,Hispanic,1,9.0,0,0.0
2026-03-01,2026.0,Outpatient,General Medicine,Cardiovascular,Medium Stay,Government,Male,Asian,1,7.0,1,100.0
